Username,Followers,Following,Posts,Engagement Rate (%),Profile Picture,Verified,Account Age (Months),Suspicious Words in Bio,Follower-Following Ratio,Likes-Per-Post,Comments-Per-Post,Engagement Consistency,Account Type
user_0,15845,2473,174,14.030143304481586,Yes,No,29,No,6.407197735543874,2374,87,Consistent,Genuine
user_1,910,2661,289,9.817195393260278,Yes,No,103,No,0.3419767004885381,2272,200,Consistent,Fake
user_2,38208,2740,192,6.608096772764044,Yes,No,92,Yes,13.944525547445256,966,213,Inconsistent,Genuine
user_3,44782,1762,310,9.724571788269374,Yes,Yes,6,No,25.41543700340522,889,203,Consistent,Genuine
user_4,11334,3515,118,11.891948462163363,Yes,Yes,16,No,3.2244665718349927,3863,400,Consistent,Genuine
user_5,6315,1976,217,2.2158747683891162,Yes,No,20,No,3.19585020242915,6154,381,Consistent,Fake
user_6,16900,2363,426,6.44362090059618,Yes,No,80,Yes,7.151925518408802,3400,88,Consistent,Fake
user_7,37244,877,457,12.67713314171645,Yes,Yes,71,No,42.467502850627135,8226,475,Inconsistent,Genuine
user_8,22012,3813,413,6.0655778030291385,No,No,105,No,5.772882244951481,4542,60,Inconsistent,Fake
user_9,47241,3449,113,8.792147932794204,Yes,Yes,78,No,13.6970136271383,3523,270,Consistent,Genuine
user_10,44181,1313,465,9.022655732501875,Yes,No,43,No,33.64889565879665,1763,93,Consistent,Genuine
user_11,16073,1461,144,3.1749056704377705,Yes,No,26,Yes,11.001368925393566,3291,306,Consistent,Genuine
user_12,41140,2710,25,5.752413903958182,Yes,Yes,90,No,15.180811808118081,2488,26,Consistent,Genuine
user_13,1735,2325,135,5.350413686758016,Yes,No,78,No,0.7462365591397849,1558,213,Consistent,Genuine
user_14,819,1734,302,0.8798522737149395,Yes,No,71,No,0.47231833910034604,4690,73,Consistent,Genuine
user_15,2483,1606,231,0.850780576424651,Yes,No,33,Yes,1.546077210460772,6121,60,Inconsistent,Genuine
user_16,5361,2564,368,12.559607133298716,Yes,No,26,No,2.090873634945398,2276,185,Consistent,Genuine
user_17,37869,3422,75,4.45952674460578,Yes,No,45,No,11.066335476329632,4439,30,Inconsistent,Fake
